route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
170740,20193012multint-1111100,65204466-20193012multint-1111100,"Val-Bélair (Nord)",,0,,07400305,2
170750,20193012multint-1111100,65207107-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,07500354,2
170160,20193012multint-1111100,65208312-20193012multint-1111100,"U. Laval / Sillery / Sainte-Foy Centre (Ouest)",,1,,01600369,2
170360,20193012multint-1111100,65207856-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,03600257,2
170040,20193012multint-1111100,65237450-20193012multint-1111100,"Maizerets (Nord)",,0,,00400522,2
172741,20193012multint-1111100,65205260-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,27410182,2
173911,20193012multint-1111100,65206354-20193012multint-1111100,"Pointe-de-Sainte-Foy (Sud)",,1,,39110093,2
175801,20193012multint-1111100,65208051-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,58010087,2
170520,20193012multint-1111100,65208497-20193012multint-1111100,"Du Bourg-Royal (Est)",,0,,05200033,2
173301,20193012multint-1111100,65206395-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33010409,2
173301,20193012multint-1111100,65206401-20193012multint-1111100,"Terminus Charlesbourg (Nord)",,0,,33010454,2
170580,20193012multint-1111100,65208342-20193012multint-1111100,"Terminus Beauport (Sud)",,1,,05800179,2
170580,20193012multint-1111100,65208347-20193012multint-1111100,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05800006,2
173501,20193012multint-1111100,65206169-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,35010462,2
172381,20193012multint-1111100,65205069-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23810200,2
170250,20193012multint-1111100,65205587-20193012multint-1111100,"Place D'Youville / Gare du Palais (Est)",,0,,02500537,2
172921,20193012multint-1111100,65204327-20193012multint-1111100,"Place Jacques-Cartier (Est)",,0,,29210013,2
173381,20193012multint-1111100,65207209-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33810174,2
170940,20193012multint-1111100,65206930-20193012multint-1111100,"Cégep Garneau / Place Jacques-Cartier (Est)",,0,,09400195,2
173741,20193012multint-1111100,65207162-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,37410179,2
170030,20193012multint-1111100,65205712-20193012multint-1111100,"Grand Théâtre (Sud)",,1,,00300520,2
173721,20193012multint-1111100,65207147-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,37210163,2
172361,20193012multint-1111100,65205097-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23610248,2
170280,20193012multint-1111100,65205438-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,02800260,2
170280,20193012multint-1111100,65205478-20193012multint-1111100,"51e Rue Est (Nord)",,0,,02800028,2
170810,20193012multint-1111100,65207806-20193012multint-1111100,"Terminus du Zoo (Nord)",,0,,08100209,2
170810,20193012multint-1111100,65207831-20193012multint-1111100,"Terminus Les Saules (Sud)",,1,,08100208,2
173911,20193012multint-1111100,65206359-20193012multint-1111100,"Pointe-de-Sainte-Foy (Sud)",,1,,39110093,2
173151,20193012multint-1111100,65206423-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Est)",,0,,31510281,2
170040,20193012multint-1111100,65237460-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,00400536,1
172391,20193012multint-1111100,65205068-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23910031,1
170883,20193012multint-1111100,65205176-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,08830260,2
170750,20193012multint-1111100,65207087-20193012multint-1111100,"Val-Bélair (Nord)",,0,,07500353,2
173771,20193012multint-1111100,65206857-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,37710270,2
172301,20193012multint-1111100,65205244-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23010014,2
171829,20193012multint-1111100,65207144-20193012multint-1111100,"Saint-Jean-Eudes (Nord)",,0,,18290026,2
174549,20193012multint-1111100,65205758-20193012multint-1111100,"École secondaire de la Seigneurie (Sud)",,1,,45490032,2
170580,20193012multint-1111100,65208365-20193012multint-1111100,"Terminus Beauport (Sud)",,1,,05800179,2
170580,20193012multint-1111100,65208363-20193012multint-1111100,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05800006,2
173151,20193012multint-1111100,65206420-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Est)",,0,,31510269,2
175821,20193012multint-1111100,65208278-20193012multint-1111100,"Lebourgneuf / Sainte-Foy Centre (Sud)",,1,,58210072,2
170223,20193012multint-1111100,65205349-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,02230137,2
172891,20193012multint-1111100,65205083-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,28910183,2
170390,20193012multint-1111100,65207644-20193012multint-1111100,"Terminus du Zoo (Nord)",,0,,03900233,2
